Entity,Year,gini,reporting_gdp
Indonesia,2012,0.40459641,2980.61011
Indonesia,2013,0.407911805,3104.348
Indonesia,2014,0.40175667,3217.317468
Indonesia,2015,0.40397369,3331.695115
Indonesia,2016,0.393002781,3456.928114
Indonesia,2017,0.38785263,3589.715543
Indonesia,2018,0.384103773,3732.867111
Indonesia,2019,0.376101221,3877.382977
Indonesia,2020,0.376054854,3756.907174
Indonesia,2021,0.379156501,3847.976479
Indonesia - rural,1984,0.29214717,1204.336709
Indonesia - rural,1987,0.277293256,1289.572732
Indonesia - rural,1990,0.26455078,1487.84551
Indonesia - rural,1993,0.26001828,1714.877579
Indonesia - rural,1996,0.275872084,2054.385835
Indonesia - rural,1998,0.256841505,1815.698066
Indonesia - rural,1999,0.247565357,1804.705162
Indonesia - rural,2000,0.241015255,1867.548796
Indonesia - rural,2001,0.239026339,1909.291868
Indonesia - rural,2002,0.255338199,1968.301128
Indonesia - rural,2003,0.253587074,2034.761462
Indonesia - rural,2004,0.265311108,2108.641795
Indonesia - rural,2005,0.279028489,2199.093914
Indonesia - rural,2006,0.289171738,2289.422012
Indonesia - rural,2007,0.301149382,2402.667542
Indonesia - rural,2008,0.29982853,2513.671592
Indonesia - rural,2009,0.29499848,2595.298759
Indonesia - rural,2010,0.315333077,2720.191622
Indonesia - rural,2011,0.340964716,2849.354985
Indonesia - rural,2012,0.329824014,2980.61011
Indonesia - rural,2013,0.320498625,3104.348
Indonesia - rural,2014,0.319144118,3217.317468
Indonesia - rural,2015,0.334184539,3331.695115
Indonesia - rural,2016,0.326553234,3456.928114
Indonesia - rural,2017,0.320454456,3589.715543
Indonesia - rural,2018,0.324441879,3732.867111
Indonesia - rural,2019,0.316865426,3877.382977
Indonesia - rural,2020,0.316691122,3756.907174
Indonesia - rural,2021,0.315338915,3847.976479
Indonesia - urban,1984,0.332934493,1204.336709
Indonesia - urban,1987,0.32775648,1289.572732
Indonesia - urban,1990,0.346628776,1487.84551
Indonesia - urban,1993,0.353532396,1714.877579
Indonesia - urban,1996,0.375496142,2054.385835
Indonesia - urban,1998,0.33776076,1815.698066
Indonesia - urban,1999,0.353750317,1804.705162
Indonesia - urban,2000,0.316502561,1867.548796
Indonesia - urban,2001,0.31758693,1909.291868
Indonesia - urban,2002,0.33938208,1968.301128
Indonesia - urban,2003,0.340120607,2034.761462
Indonesia - urban,2004,0.343056683,2108.641795
Indonesia - urban,2005,0.341898054,2199.093914
Indonesia - urban,2006,0.35517497,2289.422012
Indonesia - urban,2007,0.370758854,2402.667542
Indonesia - urban,2008,0.367170391,2513.671592
Indonesia - urban,2009,0.372020314,2595.298759
Indonesia - urban,2010,0.382047675,2720.191622
Indonesia - urban,2011,0.422169451,2849.354985
Indonesia - urban,2012,0.424808544,2980.61011
Indonesia - urban,2013,0.431065351,3104.348
Indonesia - urban,2014,0.427652618,3217.317468
Indonesia - urban,2015,0.427530637,3331.695115
Indonesia - urban,2016,0.410315153,3456.928114
Indonesia - urban,2017,0.406861311,3589.715543
Indonesia - urban,2018,0.400540195,3732.867111
Indonesia - urban,2019,0.392156686,3877.382977
Indonesia - urban,2020,0.392571906,3756.907174
Indonesia - urban,2021,0.400630642,3847.976479
Iran,1986,0.474196415,3438.613816
Iran,1990,0.436047776,3262.30458
Iran,1994,0.429983695,3592.069262
Iran,1998,0.440956434,3727.709207
Iran,2005,0.435586412,4614.078836
Iran,2006,0.447520372,4772.028495
Iran,2009,0.420500246,5098.989535
Iran,2013,0.373595078,4891.645348
Iran,2014,0.387832928,5000.615204
Iran,2015,0.394710043,4933.311385
Iran,2016,0.399651967,5358.099864
Iran,2017,0.408029421,5585.966766
Iran,2018,0.42003302,5293.754871
Iran,2019,0.409359684,4877.198873
Iraq,2006,0.286006124,3619.885906
Iraq,2012,0.29541857,4630.736522
Ireland,1987,0.354662027,18837.49982
Ireland,1994,0.369142046,25659.29594
Ireland,1995,0.370450923,27987.56149
Ireland,1996,0.356221354,29814.29968
Ireland,2000,0.330052052,41606.32174
Ireland,2002,0.322902564,44900.74643
Ireland,2003,0.328876228,45504.75195
Ireland,2004,0.336096378,47712.29281
Ireland,2005,0.337540111,49361.92019
Ireland,2006,0.327279551,50441.97552
Ireland,2007,0.319467716,51604.51863
Ireland,2008,0.309062183,48294.54102
Ireland,2009,0.326825484,45368.15623
Ireland,2010,0.322970953,45913.54544
Ireland,2011,0.328746936,46202.22879
Ireland,2012,0.332207517,45982.77713
Ireland,2013,0.334891901,46320.83716
Ireland,2014,0.318764525,49990.32605
Ireland,2015,0.318215398,61987.551
Ireland,2016,0.328075984,62543.46906
Ireland,2017,0.313598037,67397.11868
Ireland,2018,0.306029268,72578.43784
Israel,1979,0.363299758,17217.01363
Israel,1986,0.364905399,19763.10486
Israel,1992,0.355072544,22366.56659
Israel,1997,0.38097106,26362.15354
Israel,2001,0.389476621,28106.94512
Israel,2002,0.395594227,27492.562
Israel,2003,0.40722571,27310.96594
Israel,2004,0.414563007,28151.27189
Israel,2005,0.422676225,28809.64251
Israel,2006,0.415553224,29939.93719
Israel,2007,0.410986336,31207.60199
Israel,2008,0.416426794,31718.48915
Israel,2009,0.426339505,31323.31201
Israel,2010,0.425270246,32504.71335
Israel,2011,0.414441639,33678.13146
Israel,2012,0.416095964,33995.42769
Israel,2013,0.402248247,34960.94336
Israel,2014,0.397574889,35710.88627
Israel,2015,0.397195299,35808.43643
Israel,2016,0.390130153,36680.32213
Israel,2017,0.382020644,37550.72769
Israel,2018,0.385771738,38301.45366
Italy,1986,0.325164082,24291.37239
Italy,1987,0.345469739,25064.18548
Italy,1989,0.325733158,26967.0854
Italy,1991,0.314683259,27883.0271
Italy,1993,0.355378879,27839.923
Italy,1995,0.352380637,29253.32217
Italy,1998,0.366607869,30678.57155
Italy,2000,0.352528098,32337.89674
Italy,2003,0.349313086,32884.16342
Italy,2004,0.342951163,33137.1471
Italy,2005,0.338336056,33244.39755
Italy,2006,0.33697396,33738.12916
Italy,2007,0.328907356,34067.38703
Italy,2008,0.337701023,33516.87829
Italy,2009,0.338357704,31602.55897
Italy,2010,0.347213083,32045.28407
Italy,2011,0.350572145,32216.498
Italy,2012,0.351556106,31172.01976
Italy,2013,0.349118492,30245.46146
Italy,2014,0.346573283,29967.86442
Italy,2015,0.353974365,30230.2263
Italy,2016,0.352462496,30673.30784
Italy,2017,0.359280009,31231.66445
Italy,2018,0.352225706,31580.77718
Jamaica,1988,0.43155025,4037.095309
Jamaica,1990,0.411137354,4451.635114
Jamaica,1993,0.356734217,5070.834256
Jamaica,1996,0.403949023,5103.704612
Jamaica,1999,0.440801987,4839.287842
Jamaica,2002,0.483159626,4933.534334
Jamaica,2004,0.454574744,5120.929448
Japan,2008,0.348423151,33557.6454
Japan,2010,0.321003204,32942.20208
Japan,2013,0.328547286,34239.88625
Jordan,1986,0.360614298,4161.389983
Jordan,1992,0.433626242,3387.60815
Jordan,1997,0.364205558,3414.122228
Jordan,2002,0.369546163,3848.82356
Jordan,2006,0.338562536,4515.591134
Jordan,2008,0.325734503,4786.748451
Jordan,2010,0.336557303,4644.16937
Kazakhstan,1993,0.326657348,4453.564792
Kazakhstan,1996,0.353783081,3776.083915
Kazakhstan,2001,0.359647586,5055.313866
Kazakhstan,2002,0.3481114,5550.505632
Kazakhstan,2003,0.336914788,6046.328017
Kazakhstan,2004,0.318387585,6580.885049
Kazakhstan,2005,0.3982604,7155.343663
Kazakhstan,2006,0.302438652,7837.629145
Kazakhstan,2007,0.300840563,8438.104645
Kazakhstan,2008,0.284964438,8554.823573
Kazakhstan,2009,0.282088668,8487.54483
Kazakhstan,2010,0.279545118,8979.332284
Kazakhstan,2011,0.279838438,9506.734053
Kazakhstan,2012,0.281688218,9823.693897
Kazakhstan,2013,0.27065428,10264.29807
Kazakhstan,2014,0.270158598,10539.04468
Kazakhstan,2015,0.268036674,10510.77189
Kazakhstan,2016,0.272253251,10476.34757
Kazakhstan,2017,0.274502759,10758.52088
Kazakhstan,2018,0.277928746,11053.36206
Kenya,1992,0.574609623,1209.143326
Kenya,1994,0.431085715,1170.297096
Kenya,1997,0.449830766,1171.42511
Kenya,2005,0.464529249,1195.773841
Kenya,2015,0.407757725,1464.554009
Kiribati,2006,0.369730015,1495.663562
Kiribati,2019,0.27832703,1664.511519
Kosovo,2003,0.28953855,2376.358045
Kosovo,2005,0.312382299,2389.406702
Kosovo,2006,0.303216335,2440.598585
Kosovo,2009,0.317817157,2731.383164
Kosovo,2010,0.332543002,2843.380023
Kosovo,2011,0.278317484,2997.219354
Kosovo,2012,0.28972269,3021.367225
Kosovo,2013,0.263065917,3163.46018
Kosovo,2014,0.272701724,3279.039976
Kosovo,2015,0.264541532,3520.766449
Kosovo,2016,0.267211452,3739.181511
Kosovo,2017,0.290129438,3890.196168
